City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,little current,20,CA,1571094823,70,45.98,-81.93,46.4,21.92
1,cape town,20,ZA,1571094823,87,-33.93,18.42,63.0,5.82
2,saint-philippe,90,CA,1571094823,76,45.36,-73.48,53.6,8.84
3,butaritari,86,KI,1571094823,64,3.07,172.79,85.14,6.65
4,gbarnga,26,LR,1571094824,99,7.0,-9.47,70.34,0.38
5,tuktoyaktuk,40,CA,1571094824,79,69.44,-133.03,26.6,10.29
6,potsdam,32,DE,1571094824,93,52.4,13.06,63.0,3.36
7,kumluca,0,TR,1571094824,39,36.37,30.29,73.69,1.21
8,mar del plata,0,AR,1571094824,68,-46.43,-67.52,46.65,11.13
9,qaanaaq,100,GL,1571094825,70,77.48,-69.36,22.86,16.2
10,castro,45,CL,1571094825,41,-42.48,-73.76,57.2,5.82
11,albany,75,US,1571094825,51,42.65,-73.75,63.0,13.87
12,kirakira,13,SB,1571094825,80,-10.46,161.92,81.82,2.36
13,vaini,71,IN,1571094825,95,15.34,74.49,70.36,8.22
14,khunti,40,IN,1571094826,88,23.08,85.28,69.8,0.69
15,kodiak,1,US,1571094826,43,39.95,-94.76,71.01,12.75
16,ushuaia,99,AR,1571094826,52,-54.81,-68.31,46.4,25.28
17,hobart,75,AU,1571094826,81,-42.88,147.33,55.0,11.41
18,punahana,0,IN,1571094826,49,27.87,77.2,75.52,2.98
19,flin flon,90,CA,1571094827,93,54.77,-101.88,37.4,5.82
20,guerrero negro,15,MX,1571094827,59,27.97,-114.04,70.09,17.25
21,mataura,49,NZ,1571094827,67,-46.19,168.86,62.01,3.0
22,kattivakkam,75,IN,1571094827,94,13.22,80.32,78.8,4.7
23,rikitea,0,PF,1571094827,74,-23.12,-134.97,74.5,6.8
24,sitka,0,US,1571094827,24,37.17,-99.65,80.01,8.99
25,new norfolk,75,AU,1571094828,81,-42.78,147.06,55.0,11.41
26,port blair,100,IN,1571094828,77,11.67,92.75,84.27,16.06
27,ereymentau,100,KZ,1571094828,82,51.62,73.1,45.59,14.57
28,bethel,1,US,1571094828,49,60.79,-161.76,46.4,16.11
29,laguna,90,BZ,1571094828,94,16.17,-88.94,77.0,3.28
30,geraldton,90,CA,1571094829,86,49.72,-86.95,41.0,8.05
31,huarmey,49,PE,1571094829,76,-10.07,-78.15,62.08,3.28
32,sungaipenuh,73,ID,1571094829,85,-2.08,101.38,63.14,2.08
33,tiznit,84,MA,1571094835,67,29.7,-9.73,60.96,2.13
34,bilibino,95,RU,1571094836,94,68.06,166.44,17.87,1.17
35,belaya gora,100,RU,1571094836,94,68.54,146.19,18.95,15.01
36,neuquen,75,AR,1571094837,86,-38.95,-68.06,39.2,12.75
37,ritini,0,GR,1571094837,87,40.29,22.29,64.99,6.93
38,darhan,0,MN,1571094837,42,49.49,105.92,30.4,5.78
39,komsomolskiy,100,RU,1571094838,95,67.55,63.78,32.23,8.29
40,yellowknife,75,CA,1571094838,58,62.45,-114.38,32.0,5.82
41,bredasdorp,38,ZA,1571094838,67,-34.53,20.04,63.0,9.17
42,barrow,90,AR,1571094838,73,-38.31,-60.23,40.28,7.64
43,ballina,100,IE,1571094838,97,54.11,-9.15,53.01,5.01
44,hermanus,60,ZA,1571094839,84,-34.42,19.24,63.0,4.0
45,booue,100,GA,1571094839,99,-0.09,11.94,69.76,2.0
46,balikpapan,54,ID,1571094839,72,-1.24,116.86,83.12,0.68
47,takoradi,41,GH,1571094839,91,4.89,-1.75,77.07,9.78
48,otradnoye,90,RU,1571094839,86,59.77,30.8,41.0,6.71
49,comodoro rivadavia,0,AR,1571094840,70,-45.87,-67.48,48.2,5.82
50,punta arenas,20,CL,1571094840,70,-53.16,-70.91,46.4,3.36
51,tasiilaq,65,GL,1571094840,64,65.61,-37.64,33.8,4.7
52,port alfred,0,ZA,1571094841,88,-33.59,26.89,62.01,8.99
53,pangnirtung,75,CA,1571094841,74,66.15,-65.72,30.2,2.24
54,jamestown,32,AU,1571094841,42,-33.21,138.6,67.05,7.86
55,springbok,0,ZA,1571094841,40,-29.67,17.88,49.62,2.67
56,georgetown,40,GY,1571094842,74,6.8,-58.16,84.2,9.17
57,onokhoy,62,RU,1571094842,92,51.92,108.05,17.6,2.44
58,saskylakh,96,RU,1571094842,95,71.97,114.09,23.65,6.97
59,surt,48,LY,1571094842,78,31.21,16.59,72.64,8.23
60,porto novo,29,BR,1571094843,73,-23.68,-45.44,69.8,5.82
61,cabo san lucas,75,MX,1571094843,83,22.89,-109.91,82.99,11.41
62,airai,0,TL,1571094843,26,-8.93,125.41,80.38,3.81
63,akdagmadeni,0,TR,1571094843,37,39.66,35.88,49.46,1.04
64,san quintin,97,PH,1571094844,76,17.54,120.52,77.56,4.58
65,kariba,0,ZW,1571094844,48,-16.53,28.78,71.76,2.19
66,atuona,60,PF,1571094844,75,-9.8,-139.03,80.08,19.32
67,basqal,0,AZ,1571094844,81,40.75,48.39,46.4,2.84
68,hervey bay,90,AU,1571094845,64,-25.3,152.85,77.0,21.92
69,dikson,92,RU,1571094845,80,73.51,80.55,25.68,21.98
70,khatanga,94,RU,1571094845,97,71.98,102.47,24.89,5.93
71,saint-prosper,34,CA,1571094845,75,46.21,-70.48,52.0,1.99
72,ormara,0,PK,1571094845,48,25.21,64.64,84.16,12.84
73,rumoi,20,JP,1571094846,75,43.93,141.67,42.8,4.7
74,sept-iles,90,CA,1571094846,93,50.2,-66.38,48.99,17.22
75,leua,96,AO,1571094846,92,-11.65,20.45,66.56,1.26
76,tautira,75,PF,1571094846,62,-17.73,-149.15,84.2,4.7
77,victoria,75,BN,1571094847,94,5.28,115.24,77.0,5.48
78,murgab,0,TM,1571094847,76,37.5,61.97,48.2,5.7
79,kununurra,34,AU,1571094847,54,-15.77,128.74,84.2,5.82
80,viedma,99,AR,1571094847,72,-40.81,-62.99,41.05,9.94
81,arraial do cabo,0,BR,1571094847,88,-22.97,-42.02,73.4,9.17
82,torquay,75,GB,1571094848,100,50.47,-3.52,54.0,2.24
83,sundarnagar,0,IN,1571094848,63,31.53,76.88,57.06,5.27
84,zabol,0,IR,1571094848,46,31.03,61.49,61.02,26.13
85,skibbereen,90,IE,1571094848,93,51.55,-9.27,50.0,10.29
86,east london,0,ZA,1571094848,65,-33.02,27.91,66.76,26.1
87,bud,87,NO,1571094848,80,62.91,6.91,44.6,6.93
88,khuzhir,59,RU,1571094849,61,53.19,107.35,46.76,13.1
89,severo-kurilsk,97,RU,1571094849,82,50.68,156.12,35.29,19.33
90,aksarka,100,RU,1571094849,95,66.56,67.8,37.9,16.15
91,fairbanks,1,US,1571094849,63,64.84,-147.72,33.01,4.7
92,flinders,0,AU,1571094849,73,-34.58,150.85,73.99,13.0
93,lorengau,98,PG,1571094850,71,-2.02,147.27,84.02,7.73
94,kapaa,90,US,1571094850,74,22.08,-159.32,86.0,13.87
95,opuwo,93,NA,1571094850,65,-18.06,13.84,71.94,6.62
96,guarda,9,PT,1571094850,91,40.54,-7.27,50.0,5.42
97,esso,100,RU,1571094850,93,55.93,158.7,21.07,2.4
98,lebu,20,ET,1571094850,62,8.96,38.73,53.6,3.36
99,thompson,90,CA,1571094851,93,55.74,-97.86,35.6,8.05
100,sesimbra,0,PT,1571094851,82,38.45,-9.1,59.0,2.24
101,dillon,1,US,1571094851,32,45.22,-112.64,55.99,8.05
102,bluff,0,AU,1571094852,42,-23.58,149.07,84.29,15.14
103,longyearbyen,75,NO,1571094852,79,78.22,15.63,23.0,2.49
104,tuatapere,49,NZ,1571094852,67,-46.13,167.69,62.01,3.0
105,verkhnetulomskiy,85,RU,1571094852,96,68.61,31.8,27.84,0.57
106,bagua grande,69,PE,1571094852,79,-5.75,-78.44,64.71,2.7
107,zheshart,94,RU,1571094853,97,62.09,49.59,36.99,3.0
108,finschhafen,100,PG,1571094853,78,-6.6,147.85,80.35,16.38
109,aklavik,20,CA,1571094853,79,68.22,-135.01,28.4,11.41
110,kruisfontein,21,ZA,1571094854,81,-34.0,24.73,58.35,17.04
111,carlisle,100,GB,1571094854,100,54.89,-2.94,50.0,8.05
112,hilo,75,US,1571094854,62,19.71,-155.08,84.2,6.93
113,coahuayana,89,MX,1571094854,83,18.62,-100.35,78.82,1.68
114,moroceli,75,HN,1571094854,77,14.13,-86.87,69.8,4.7
115,puerto ayora,75,EC,1571094855,60,-0.74,-90.35,75.2,18.34
116,novaya igirma,100,RU,1571094855,79,57.14,103.93,32.79,6.96
117,mul,19,IN,1571094855,88,20.07,79.68,68.61,3.13
118,yulara,21,AU,1571094855,17,-25.24,130.99,84.2,9.17
119,christchurch,90,NZ,1571094856,71,-43.53,172.64,57.99,16.11
120,san jose,100,HN,1571094856,97,14.25,-87.96,62.42,3.13
121,torbay,90,CA,1571094856,80,47.66,-52.73,44.01,11.41
122,tazovskiy,100,RU,1571094856,96,67.47,78.7,37.35,14.51
123,yar-sale,100,RU,1571094856,96,66.83,70.83,38.77,14.09
124,carnarvon,0,ZA,1571094856,29,-30.97,22.13,55.67,15.23
125,port macquarie,12,AU,1571094857,60,-31.43,152.91,82.0,6.93
126,iona,90,CA,1571094857,100,45.96,-60.8,52.0,10.29
127,north bend,1,US,1571094857,72,43.41,-124.22,64.0,18.34
128,broome,100,GB,1571094857,93,52.47,1.45,60.01,8.05
129,alta floresta,63,BR,1571094857,97,-9.87,-56.08,71.31,3.04
130,puerto escondido,75,MX,1571094857,70,15.86,-97.07,86.0,8.05
131,marsh harbour,15,BS,1571094857,65,26.54,-77.06,78.4,7.95
132,lavrentiya,100,RU,1571094858,80,65.58,-170.99,37.4,24.19
133,urengoy,100,RU,1571094858,97,65.96,78.37,40.15,7.63
134,sola,95,TZ,1571094858,69,-3.17,33.8,70.59,3.22
135,uvira,15,CD,1571094859,86,-3.41,29.14,51.55,1.52
136,la asuncion,100,AR,1571094859,96,-26.05,-65.39,41.32,4.14
137,bathsheba,20,BB,1571094859,69,13.22,-59.52,82.4,17.22
138,guilin,90,CN,1571094859,100,25.28,110.29,66.2,2.24
139,correntina,40,BR,1571094860,30,-13.34,-44.63,77.7,3.86
140,sorel,75,CA,1571094860,76,46.04,-73.1,52.0,4.7
141,ahuimanu,40,US,1571094860,66,21.44,-157.84,89.6,16.11
142,nikolskoye,90,RU,1571094861,86,59.7,30.79,41.0,6.71
143,basco,1,US,1571094861,44,40.33,-91.2,61.0,4.7
144,rio de janeiro,0,BR,1571094861,88,-22.91,-43.21,77.0,3.36
145,isangel,75,VU,1571094861,65,-19.55,169.27,77.0,9.17
146,deputatskiy,93,RU,1571094861,92,69.3,139.9,11.66,4.1
147,dingle,100,PH,1571094862,86,11.0,122.67,78.98,10.91
148,goryachiy klyuch,0,RU,1571094862,80,44.63,39.14,50.0,0.33
149,mesyagutovo,71,RU,1571094862,89,55.53,58.24,39.51,10.78
150,avarua,85,CK,1571094862,73,-21.21,-159.78,77.0,12.75
151,nogales,75,CL,1571094862,72,-32.73,-71.2,59.0,14.99
152,antofagasta,20,CL,1571094863,72,-23.65,-70.4,62.6,9.17
153,roanoke rapids,0,US,1571094863,82,36.46,-77.65,68.0,4.25
154,ancud,46,CL,1571094863,41,-41.87,-73.83,57.2,5.82
155,hamilton,20,CA,1571094863,69,43.26,-79.87,51.01,8.05
156,gayeri,68,BF,1571094864,58,12.65,0.49,82.85,7.24
157,cidreira,100,BR,1571094864,75,-30.17,-50.22,61.77,21.65
158,busselton,21,AU,1571094864,63,-33.64,115.35,46.99,10.85
159,prince rupert,90,CA,1571094864,81,54.32,-130.32,46.4,16.11
160,grindavik,90,IS,1571094864,81,63.84,-22.43,46.4,34.45
161,souillac,97,FR,1571094865,93,45.6,-0.6,59.0,10.29
162,sassenberg,100,DE,1571094865,82,51.99,8.04,68.0,4.7
163,hofn,100,IS,1571094865,87,64.25,-15.21,48.58,23.24
164,totness,1,US,1571094865,64,33.74,-80.8,75.99,4.51
165,atambua,10,ID,1571094866,34,-9.11,124.89,84.2,2.77
166,lagoa,23,PT,1571094866,82,37.14,-8.45,60.01,9.17
167,turukhansk,100,RU,1571094866,95,65.8,87.96,38.93,9.64
168,belyy yar,11,RU,1571094866,77,53.6,91.39,37.63,3.21
169,rocha,100,UY,1571094866,78,-34.48,-54.34,47.17,7.89
170,taitung,40,TW,1571094868,69,22.76,121.15,73.4,11.41
171,george,23,MW,1571094868,78,-15.35,34.83,69.57,2.58
172,tolaga bay,100,NZ,1571094868,90,-38.37,178.3,58.35,31.39
173,mackenzie,90,CA,1571094868,64,55.34,-123.09,39.2,10.29
174,kavieng,43,PG,1571094869,70,-2.57,150.8,83.26,5.37
175,chokurdakh,99,RU,1571094869,95,70.62,147.9,23.36,12.37
176,saint anthony,1,US,1571094869,20,43.97,-111.68,62.6,14.99
177,colesberg,88,ZA,1571094869,27,-30.72,25.1,63.46,8.17
178,bugiri,100,UG,1571094870,92,0.57,33.75,64.51,2.69
179,ponta do sol,71,BR,1571094870,51,-20.63,-46.0,75.76,4.34
180,san andres,55,PH,1571094870,75,13.32,122.68,81.19,7.52
181,teixoso,9,PT,1571094870,91,40.31,-7.46,50.0,5.42
182,burnie,27,AU,1571094871,73,-41.05,145.91,66.99,5.99
183,moree,0,AU,1571094871,47,-29.46,149.84,77.0,21.92
184,cabinda,72,AO,1571094871,84,-5.56,12.19,77.95,8.81
185,katsuura,75,JP,1571094871,68,33.93,134.5,66.2,16.11
186,ribeira grande,93,PT,1571094871,82,38.52,-28.7,62.6,18.71
187,saint george,0,GR,1571094872,93,39.45,22.34,57.2,0.48
188,ilulissat,19,GL,1571094872,62,69.22,-51.1,19.4,16.11
189,cap malheureux,40,MU,1571094872,94,-19.98,57.61,68.0,6.93
190,sisimiut,21,GL,1571094872,62,66.94,-53.67,22.42,9.76
191,provideniya,90,RU,1571094873,82,64.42,-173.23,41.0,15.66
192,whitehorse,90,CA,1571094873,58,60.72,-135.06,28.99,3.36
193,zhigansk,96,RU,1571094873,91,66.77,123.37,18.66,8.5
194,praia,0,BR,1571094873,30,-20.25,-43.81,80.6,5.82
195,kaitangata,75,NZ,1571094873,74,-46.28,169.85,53.01,17.0
196,ngunguru,73,NZ,1571094873,94,-35.62,174.5,63.0,5.01
197,kuala terengganu,75,MY,1571094874,94,5.33,103.14,77.0,2.24
198,bolobo,51,CD,1571094874,94,-2.17,16.23,71.26,5.3
199,berlevag,100,NO,1571094874,75,70.86,29.09,37.2,0.98
200,chapais,75,CA,1571094874,80,49.78,-74.86,39.2,4.7
201,yertsevo,95,RU,1571094875,93,60.8,40.09,30.16,4.12
202,havoysund,40,NO,1571094875,73,71.0,24.66,32.0,4.7
203,taltal,0,CL,1571094875,89,-25.41,-70.49,53.13,3.66
204,novyy urengoy,100,RU,1571094875,98,66.08,76.63,39.34,6.53
205,gao,0,ML,1571094875,16,16.28,-0.04,94.05,11.28
206,port augusta,2,AU,1571094875,82,-32.49,137.76,68.0,6.93
207,mmabatho,66,ZA,1571094876,33,-25.85,25.61,77.0,8.05
208,upernavik,100,GL,1571094876,55,72.79,-56.15,25.97,14.5
209,bawku,56,GH,1571094876,77,11.06,-0.24,79.47,7.03
210,bonthe,62,SL,1571094876,88,7.53,-12.5,77.45,4.43
211,keita,20,NG,1571094876,94,7.1,3.65,78.8,3.36
212,dharan,0,NP,1571094877,85,26.81,87.28,54.55,5.95
213,great yarmouth,100,GB,1571094877,93,52.61,1.73,60.01,8.05
214,bayeux,75,BR,1571094877,100,-7.13,-34.94,73.4,8.05
215,chicama,75,PE,1571094877,82,-7.84,-79.15,64.4,8.05
216,makakilo city,40,US,1571094878,46,21.35,-158.09,89.6,14.99
217,oranjemund,37,ZA,1571094878,82,-28.55,16.43,57.25,12.19
218,faanui,0,PF,1571094878,82,-16.48,-151.75,77.52,17.47
219,narsaq,5,GL,1571094878,63,60.91,-46.05,30.2,2.24
220,leningradskiy,100,RU,1571094879,80,69.38,178.42,33.89,14.35
221,muisne,75,EC,1571094879,78,0.61,-80.02,80.6,8.05
222,campoverde,75,EC,1571094879,66,-0.91,-78.62,55.4,20.8
223,minab,0,IR,1571094879,83,27.15,57.07,78.8,7.69
224,cherskiy,89,RU,1571094879,90,68.75,161.3,18.75,10.55
225,miles city,40,US,1571094880,43,46.41,-105.84,55.4,23.04
226,avera,1,US,1571094880,50,33.19,-82.53,80.6,3.86
227,half moon bay,20,US,1571094880,82,37.46,-122.43,80.6,5.82
228,hithadhoo,100,MV,1571094880,84,-0.6,73.08,79.63,16.73
229,margate,75,AU,1571094880,81,-43.03,147.26,55.0,11.41
230,chuy,100,UY,1571094881,75,-33.69,-53.46,52.66,9.83
231,necochea,88,AR,1571094881,68,-38.55,-58.74,44.01,7.0
232,yatou,75,CM,1571094881,100,3.63,9.81,73.4,3.36
233,sawtell,9,AU,1571094881,73,-30.38,153.1,75.0,11.41
234,waingapu,33,ID,1571094882,77,-9.65,120.26,79.0,10.0
235,soyo,60,AO,1571094882,89,-6.13,12.37,75.52,4.62
236,hobyo,7,SO,1571094882,79,5.35,48.53,79.23,4.0
237,klaksvik,0,FO,1571094882,93,62.23,-6.59,48.2,17.22
238,beisfjord,0,NO,1571094884,92,68.38,17.6,35.01,10.29
239,kamenka,78,MD,1571094884,90,48.03,28.7,41.0,3.4
240,teya,75,MX,1571094884,66,21.05,-89.07,88.0,9.17
241,rundu,11,NA,1571094884,36,-17.91,19.77,80.6,9.17
242,buchanan,40,LR,1571094886,94,5.88,-10.05,77.0,2.46
243,wankaner,0,IN,1571094886,61,22.62,70.95,84.0,1.53
244,ocu,87,PA,1571094887,94,7.95,-80.78,74.79,5.51
245,lazaro cardenas,90,MX,1571094887,68,28.39,-105.62,73.0,9.17
246,nabire,100,ID,1571094887,92,-3.36,135.5,75.47,1.44
247,adrar,76,DZ,1571094887,28,27.87,-0.29,82.4,8.05
248,hanyang,100,CN,1571094887,95,32.14,105.51,57.54,0.48
249,saint-francois,84,FR,1571094888,93,46.42,3.91,59.0,11.41
250,lompoc,1,US,1571094888,59,34.64,-120.46,69.8,9.17
251,mersing,78,MY,1571094889,73,2.43,103.84,81.91,4.04
252,karratha,8,AU,1571094889,72,-20.74,116.85,73.06,14.3
253,ahipara,90,NZ,1571094889,100,-35.17,173.16,69.01,26.6
254,chipinge,0,ZW,1571094889,53,-20.19,32.62,59.36,4.97
255,santa maria,97,BR,1571094890,26,-16.02,-48.01,80.6,6.93
256,aksu,100,KZ,1571094890,68,52.04,76.93,53.02,13.97
257,port lincoln,29,AU,1571094891,74,-34.72,135.86,57.99,5.36
258,kuldur,7,RU,1571094891,42,49.22,131.63,31.64,3.6
259,dunedin,100,NZ,1571094891,80,-45.87,170.5,53.01,27.0
260,anadyr,75,RU,1571094891,86,64.73,177.51,39.2,33.55
261,richards bay,50,ZA,1571094891,84,-28.77,32.06,69.82,26.99
262,marawi,86,PH,1571094892,90,8.0,124.29,75.0,5.01
263,nangong,6,CN,1571094892,23,37.36,115.37,48.42,3.32
264,caravelas,24,BR,1571094892,90,-17.73,-39.27,70.63,5.77
265,esperance,90,AU,1571094892,100,-33.86,121.89,50.0,5.82
266,walvis bay,63,NA,1571094893,72,-22.95,14.51,63.0,5.82
267,hirara,75,JP,1571094893,73,24.8,125.28,77.0,17.22
268,wanning,75,AT,1571094893,100,48.64,13.53,55.0,1.12
269,poronaysk,0,RU,1571094893,47,49.22,143.1,39.2,14.67
270,chinhoyi,0,ZW,1571094893,40,-17.36,30.19,60.57,5.4
271,isiro,69,CD,1571094894,95,2.77,27.62,65.89,1.32
